450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,rf,svc,xgb_f,xgb_d,regr_xgb_f
0.0506281294,0.0481497236,0.0447436832,0.0519636646,0.0396662876,0.0371251926,0.0423126258,0.0637302995,2,2,2,0,60.404980
-0.0055752299,-0.0058059487,-0.0048430921,-0.0039822226,-0.0052340762,-0.0051128501,-0.0041113840,-0.0040476620,2,2,1,1,-23.053150
0.0221900754,0.0254108310,0.0237282757,0.0301999711,0.0222209860,0.0221492704,0.0251087155,0.0381166674,2,1,1,0,24.610802
0.0270699207,0.0186799075,0.0171185546,0.0165801514,0.0156351384,0.0156018268,0.0145281218,0.0238558352,2,1,1,2,21.990278
0.0157402158,0.0196341928,0.0195742492,0.0246792026,0.0161741339,0.0146880224,0.0190231521,0.0317003205,2,1,1,1,19.181620
0.0222784784,0.0241900366,0.0216994546,0.0280620307,0.0208691973,0.0213172231,0.0244161636,0.0349035151,2,1,1,0,24.610802
0.0673972666,0.0680252090,0.0634166747,0.0756392702,0.0581646934,0.0543056354,0.0618059970,0.0960283056,2,2,1,2,71.355324
0.0061444640,0.0055584391,0.0069278297,0.0087927720,0.0060027465,0.0065996707,0.0069496292,0.0090122242,2,1,1,1,8.091270
0.0221236926,0.0235023629,0.0213077385,0.0276425518,0.0204669274,0.0210669581,0.0239975471,0.0349035151,2,1,1,0,24.610802
0.0995034054,0.0946397185,0.0850152075,0.1122650579,0.0828801990,0.0853132382,0.0977783725,0.1391940266,2,2,1,2,72.834930
0.0134028634,0.0151786255,0.0137208886,0.0195445698,0.0130713014,0.0131668039,0.0147186266,0.0263909083,2,1,1,1,5.863392
0.0278195273,0.0290238727,0.0254709069,0.0333331972,0.0255020149,0.0265442170,0.0288196970,0.0413199142,2,1,1,0,23.816591
0.0104347663,0.0078738816,0.0066937231,0.0051767286,0.0068253805,0.0069817454,0.0039024260,0.0080997441,2,1,1,2,4.138301
0.0030463128,0.0083734011,0.0089781713,0.0127497679,0.0075491918,0.0052037882,0.0091265840,0.0168489665,2,1,1,1,0.255067
0.0270783957,0.0179740451,0.0171955433,0.0165548138,0.0143459458,0.0137812709,0.0148875751,0.0228647925,2,1,1,2,21.990278
0.0230043828,0.0221214686,0.0197615586,0.0251110308,0.0217300411,0.0221861079,0.0221800040,0.0303165857,2,1,1,0,24.588131
0.0790298060,0.0790904239,0.0693737119,0.0934979916,0.0682603270,0.0701782480,0.0802332088,0.1175516993,2,2,1,0,72.818657
0.0270106234,0.0182360485,0.0177006312,0.0169857796,0.0145271653,0.0136784846,0.0153443050,0.0228647925,2,1,1,2,21.937107
0.0078166779,0.0078534000,0.0069732536,0.0092898188,0.0055672880,0.0053366441,0.0062954682,0.0126314200,2,1,1,1,5.592290
0.0103456499,0.0064987149,0.0069100433,0.0040479717,0.0042018369,0.0030988893,0.0029902644,0.0058728498,2,2,1,2,4.868505
0.0084395474,0.0065473444,0.0066292291,0.0085920459,0.0054826699,0.0054030903,0.0066929199,0.0120672965,2,1,1,1,6.019427
0.0020147790,0.0014563904,0.0008672284,0.0013382119,0.0017777816,0.0007420951,0.0009060471,0.0025572316,2,2,2,2,-12.613089
0.0684255585,0.0687096566,0.0639017522,0.0765425190,0.0576954708,0.0551945828,0.0628162175,0.0956837088,2,2,1,2,72.784096
0.0114489542,0.0074343840,0.0077682389,0.0050047408,0.0047250721,0.0035987138,0.0037815706,0.0066548721,2,2,1,2,5.511792
0.0212125722,0.0202502366,0.0189825874,0.0235954430,0.0194024052,0.0198015254,0.0206119288,0.0285955910,2,1,1,0,24.588131
0.0178680476,0.0199632850,0.0193200465,0.0249051508,0.0183008946,0.0156003265,0.0182020068,0.0319125801,2,1,1,2,25.461552
0.0718176514,0.0730735660,0.0671737939,0.0822953209,0.0616238415,0.0577248372,0.0668694377,0.1032389700,2,2,1,2,72.784096
0.0654610470,0.0641335919,0.0577739142,0.0744394809,0.0544973500,0.0560111962,0.0653600022,0.0918773189,2,2,1,0,71.355324
0.0012551640,0.0069021634,0.0073750168,0.0111730844,0.0059846123,0.0037372103,0.0073961206,0.0144099528,2,1,1,1,0.884249
