,450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,percent
738,0.0419558499883716,0.0419448113928423,0.0392984563913272,0.0331366452846943,0.033197530506422,0.0316871711807268,0.0325363948197454,0.0350238292322006,25.0
46,0.0222540350894402,0.0219065235202798,0.0195938529227218,0.0174909334618547,0.0195462046189129,0.0206165154882526,0.0185190474264058,0.0174050759370193,10.0
891,0.0053887843236499,0.0024741695575449,0.0003631946776758,0.0002133687691505,0.0018056090500712,0.0028216988384894,-0.0004810277674954,-1.3659318254983711e-05,12.0
800,0.107211095766757,0.1027083029321779,0.0937122243725487,0.0783402600974029,0.0800052016661518,0.0775636673340516,0.0770783429117553,0.0837177996946576,70.0
1002,0.0207861614456589,0.0085978724401471,0.0081474802113558,0.0060116637099741,0.0063617432699718,0.0069910254311941,0.004392435247997,0.0076928434722927,60.0
911,0.0042315021856919,0.0029457026906078,0.0026624859870004,0.0024767848031796,0.0029449814523497,0.0016734476809072,0.0017145777429455,0.0022291071124965,16.0
882,0.0024190041996339,0.0019744940541402,0.0003135454984344,0.0017589742335932,0.001898010998363,0.000703498298834,0.0009922819667272,0.0012480466887391,10.0
484,0.0309319947737555,0.0277893399394958,0.0263760377261239,0.0233093057711126,0.0248629832800109,0.0258975406750629,0.0252038847699787,0.0227677543758358,14.0
813,0.122914527418593,0.1170515561847957,0.1053848988562389,0.0882318845349717,0.0890282392278894,0.0859443103513013,0.0867862996501476,0.0958076000692904,80.0
881,0.0022049481597429,0.0016098187218728,0.0002059947209743,0.0015923304011848,0.0014939293920324,0.0006161729039756,0.000913381153705,0.0011048457165511,10.0
238,-0.0055752303160827,-0.0058151849009268,-0.0057903656274074,-0.0021227510324967,-0.0054414991965344,-0.0050572674952834,-0.0036529474200039,-0.0027169306883178,6.0
902,0.0128734636349105,0.0094216060191789,0.0082150718717486,0.0062830051381318,0.0086618611424317,0.0086838179144001,0.0059574513461901,0.0068583963776375,14.0
978,0.012384447490165,0.0087056267861698,0.0076578030530194,0.0041034818817025,0.0051064802858203,0.0046874716804068,0.0037890687391016,0.0041077669674485,40.0
196,0.0684238930832707,0.0702938582628495,0.0621217809182087,0.0569011921084536,0.0577536190978065,0.0598834437377424,0.0606965661077187,0.0595306357008005,90.0
725,0.0405241263756029,0.0416028752981443,0.0374829175732985,0.0330292492196518,0.0330814975441748,0.0339414805464887,0.0320822213885577,0.034709470513485,20.0
546,0.0791850928128472,0.0775389181562282,0.0697902491794952,0.0629516294437448,0.0639299414216986,0.0663193371085571,0.0678418774754389,0.0658069888618235,35.0
580,0.1298790378149727,0.1282147576711807,0.1150998531405211,0.1068958520038417,0.1065278145329157,0.1114592111198807,0.1146118741704922,0.1138742043178779,60.0
370,0.0075581283705737,0.007661012695855,0.0058741042586542,0.006601958047307,0.0045449697099709,0.0047766700288576,0.0049845691660571,0.0068849190356048,60.0
739,0.0422584219622647,0.041924078025301,0.0392542861397131,0.0330650428884361,0.0328190361708919,0.0320814911134905,0.0326320936940498,0.0348927914529431,25.0
516,0.0418693076192104,0.0400127614361453,0.0365836617651605,0.0332969910061869,0.0339483352037741,0.0355097158928249,0.0347195364114153,0.0334347096976852,20.0
718,0.0401799525563872,0.0419655460474909,0.0383807800057423,0.0332619978208146,0.0344825250210313,0.0347355469077586,0.032967268666937,0.0349714046878526,18.0
272,0.0064773937042015,0.0106749533661696,0.0095627583008976,0.0121114296919306,0.0069220041798721,0.0072619249117028,0.010694964952042,0.0126469155745476,14.0
202,0.0788590883169826,0.079438331130187,0.0688669775069903,0.0645403757392912,0.0646247858546093,0.0665354958940257,0.0675680637262799,0.0678839650016152,100.0
975,0.0118472689354276,0.0081182976861459,0.0072951770024833,0.0040866588220157,0.0046987431177681,0.003637278173868,0.0034026104489238,0.0036969363491843,40.0
606,0.1529121769963261,0.1525373319345252,0.1376423010118861,0.130144512858451,0.1271804964786559,0.1330037672815923,0.1371035621385733,0.1402572888464579,80.0
390,0.0109088781586126,0.0095415361043067,0.0075145838739159,0.0068325947533581,0.006035267528458,0.0056297795596954,0.0054882418561674,0.0068377318499261,80.0
193,0.0689590942356578,0.0697411232026244,0.0619058894727643,0.0566862533820432,0.057403804551129,0.0596242055428078,0.0603076553655897,0.059210045445444,90.0
355,0.0126897633463712,0.0141082703882102,0.0121177230816577,0.0133934062215909,0.0111835123979155,0.0116754112701474,0.0117558480258773,0.0144715245052082,45.0
162,0.0452573759038489,0.0483392942546443,0.042680032355673,0.0402170004065198,0.0381162027399405,0.0398765696704938,0.0414128391482579,0.0416998284903477,60.0
249,-0.0027182217052005,0.0019214109805681,0.0005302192612857,0.0041438383236446,-0.0010426549424986,-0.0006528534874777,0.0025669781600019,0.0041414697008936,8.0
364,0.0124605494815841,0.0139514425021034,0.0123699697355203,0.0136302635474335,0.0115654463433855,0.0120571837011849,0.0125109040618629,0.0143494086345958,50.0
1042,0.0463145494805547,0.0368720827012168,0.034158617272782,0.0271154158209279,0.0292173158906465,0.0282643414357242,0.0273367611865909,0.0308075522578001,100.0
982,0.0127756091206441,0.0041129604038026,0.0036212036989389,0.0012593687078392,0.0029449814523497,0.0019840687781213,0.0006993212725045,0.0012241733402371,45.0
990,0.0149507608529514,0.0058083921671904,0.004984275782553,0.0025771050646781,0.0039950395392533,0.0036292732698403,0.0031414511045421,0.0031182523677408,50.0
312,0.0055443534849938,0.0082674094160977,0.0061139304195869,0.0080717090230458,0.0060179025912212,0.0064849275404513,0.0063631849444948,0.0083052951399838,25.0
